Defense,Prevalence,Prevalence_value,TPR,FPR,False_Alarms_per_10k,Missed_Attacks_per_10k,Attacks_Caught_per_10k,Net_Value,FP_Cost,FN_Cost
Signature-Only,0.1%,0.001,0.25,0.0,0.0,7.5,2.5,-52.5,0.0,75.0
Signature-Only,0.5%,0.005,0.25,0.0,0.0,37.5,12.5,-262.5,0.0,375.0
Signature-Only,1.0%,0.01,0.25,0.0,0.0,75.0,25.0,-525.0,0.0,750.0
Signature-Only,2.0%,0.02,0.25,0.0,0.0,150.0,50.0,-1050.0,0.0,1500.0
Signature-Only,5.0%,0.05,0.25,0.0,0.0,375.0,125.0,-2625.0,0.0,3750.0
Rules-Only,0.1%,0.001,0.24,0.015,149.85,7.6,2.4,-204.25,149.85,76.0
Rules-Only,0.5%,0.005,0.24,0.015,149.25,38.0,12.0,-421.25,149.25,380.0
Rules-Only,1.0%,0.01,0.24,0.015,148.5,76.0,24.0,-692.5,148.5,760.0
Rules-Only,2.0%,0.02,0.24,0.015,147.0,152.0,48.0,-1235.0,147.0,1520.0
Rules-Only,5.0%,0.05,0.24,0.015,142.5,380.0,120.0,-2862.5,142.5,3800.0
NeMo-Baseline,0.1%,0.001,0.125,0.01,99.9,8.75,1.25,-176.15,99.9,87.5
NeMo-Baseline,0.5%,0.005,0.125,0.01,99.5,43.75,6.25,-480.75,99.5,437.5
NeMo-Baseline,1.0%,0.01,0.125,0.01,99.0,87.5,12.5,-861.5,99.0,875.0
NeMo-Baseline,2.0%,0.02,0.125,0.01,98.0,175.0,25.0,-1623.0,98.0,1750.0
NeMo-Baseline,5.0%,0.05,0.125,0.01,95.0,437.5,62.5,-3907.5,95.0,4375.0
